,car_1,car_2,car_3,car_4,car_5,car_6,car_7,car_8,car_9,car_10,car_11,car_12,car_13,car_14,car_15,car_16,car_17,car_18,car_19,car_20,total,up,down
19:00,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1.346,0,0,0,0,0,0,0,0,3.596
19:15,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,2.25
19:30,0,0,0,0,0,0,0,0,0,0,0,0,0.39899999999999913,0,0,0,0,0,0,0,0,0,0.39899999999999913
19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,2.25
21:15,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,2.25
21:30,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,2.25
21:45,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,2.25
22:00,0,0,0,0,0,0,0,0,0,0,2.25,0.21799999999999997,0,0,0,0,0,0,0,0,0,0,2.468
22:15,0,0,0,0,0,0,0,0,0,2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,4.5
22:30,0,0,0,0,0,0,0,0,0,2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,4.5
22:45,0,0,0,0,0,0,0,0,0,2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,4.5
23:00,0,0,0,0,0,0,0,2.25,2.25,2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,9.0
23:15,0,0,0,0,0,0,0,2.25,2.25,2.25,1.157,0,0,0,0,0,0,0,0,0,0,0,7.907
23:30,0,0,0,0,0,0,0,2.25,0.2779999999999996,0.17099999999999937,0,0,0,0,0,0,0,0,0,0,0,0,2.698999999999999
23:45,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25
